Alloys,Class,Phase
Al0.5Co1Cr1Cu1Fe1Ni1Ti0.12,0,Non-SP-SS
Al0.56Co1Cr1Fe1Mn1Ni1,0,Non-SP-SS
Al0.5Co1Cr1Cu1Fe1Ni1V0.4,0,Non-SP-SS
Cr1Fe1Ni2V0.5W0.5,0,Non-SP-SS
Al0.32Cr1Fe2Mn1.25Ni0.75,0,Non-SP-SS
Co1Cu9Fe1Ni1Ti1,0,Non-SP-SS
Al0.7Cr1Fe1Ni2.3,0,Non-SP-SS
Co1Cu1Fe1Ni1Sn0.2,0,Non-SP-SS
Al0.6Co1Cr1Fe1Ni1,0,Non-SP-SS
Al0.61Co1Cr1Fe1Ni1,0,Non-SP-SS
Co1Cu1Fe1Mn1Ni1Sn0.2,0,Non-SP-SS
Al38Co62Cr62Fe62Mn62Ni62,0,Non-SP-SS
Al1C0.5Co1Cr1Fe1Ni1,0,Non-SP-SS
Al0.62Co1Cr1Fe1Mn1Ni1,0,Non-SP-SS
Co1Cr1Fe1Mo0.85Ni1,0,Non-SP-SS
Al0.5Co1Cr1Cu1Fe1Ni1V0.6,0,Non-SP-SS
Al0.5Co1Cr1Cu1Fe1Ni1V0.62,0,Non-SP-SS
Al0.7Co1Cu0.7Fe1Ni1,0,Non-SP-SS
Cr1Fe1Ni1V0.5W0.25,0,Non-SP-SS
Al1Co2Cu1Fe1Ni1,0,Non-SP-SS
Al1Co1Cr1Cu0.5Fe1Ni2,0,Non-SP-SS
Al40Co60Cr60Fe60Mn60Ni60,0,Non-SP-SS
Al0.3Cr1Fe1.5Ni0.5,0,Non-SP-SS
Al0.3Cr1Fe1.5Mn1Ni0.5,0,Non-SP-SS
Al0.68Co1Cr1Fe1Mn1Ni1,0,Non-SP-SS
Al0.5Cr1Cu1Fe1Mn1Ni1,0,Non-SP-SS
Al1Co2Cr1Cu0.5Fe1Ni1,0,Non-SP-SS
Al0.5Co1Cr1Cu1Fe1Ni1V0.75,0,Non-SP-SS
Al0.31Co1Cr1Fe1Mo0.5Ni1,0,Non-SP-SS
Al1C0.4Co1Cr1Fe1Ni1,0,Non-SP-SS
