Alloys,Class,alloy_sep,normalizer,k,vm,tm,vac,delta_s_mix,delta_chi,delta,delta_h_mix
Co1Cu0.165Fe1Ni1Ti0.165,0,"[('Co', 1.0), ('Cu', 0.165), ('Fe', 1.0), ('Ni', 1.0), ('Ti', 0.165)]",3.33,170.5960960960961,7.0031531531531535,1757.387927927928,8.85135135135135,11.486035734044762,0.07931473863476846,1.743784179128802,-6.72132853574295
Co1Cr2Fe1Ni1,0,"[('Co', 1.0), ('Cr', 2.0), ('Fe', 1.0), ('Ni', 1.0)]",5.0,169.39999999999998,6.9719999999999995,1933.5500000000002,7.800000000000001,11.075732575883858,0.10759182125050214,1.7749925672341893,-6.768000000000001
Co1Cr1Fe1Nb0.103Ni1,0,"[('Co', 1.0), ('Cr', 1.0), ('Fe', 1.0), ('Nb', 0.103), ('Ni', 1.0)]",4.103,171.73117231294174,7.005215695832319,1893.947221545211,8.168413356080917,12.211427949060575,0.10148789936057748,1.9849771648070895,-8.353814454496687
Al1C1.5Co1Cr1Fe1Ni1,0,"[('Al', 1.0), ('C', 1.5), ('Co', 1.0), ('Cr', 1.0), ('Fe', 1.0), ('Ni', 1.0)]",6.5,125.23076923076923,7.012307692307692,2388.8530769230765,6.461538461538462,14.784225757784743,0.3420197578984281,23.170217399907457,-70.88284023668639
Cr1Cu0.7Fe1Ni1,0,"[('Cr', 1.0), ('Cu', 0.7), ('Fe', 1.0), ('Ni', 1.0)]",3.7,163.78378378378378,6.999999999999999,1802.6727027027025,8.567567567567567,11.438495865374,0.10170927789362225,1.8095278620790707,4.371073776479181
Co1Cu1Fe1Ni1Sn0.07,0,"[('Co', 1.0), ('Cu', 1.0), ('Fe', 1.0), ('Ni', 1.0), ('Sn', 0.07)]",4.07,164.87960687960688,7.037100737100737,1644.4520147420146,9.577395577395576,12.050137525795027,0.03227756936483791,1.7809348764554815,6.427808196849965
Co1Cr1Cu2Fe1Mn1Ni1,0,"[('Co', 1.0), ('Cr', 1.0), ('Cu', 2.0), ('Fe', 1.0), ('Mn', 1.0), ('Ni', 1.0)]",7.0,155.0,7.031428571428572,1674.6128571428571,8.857142857142858,14.531769415704694,0.1316767842491761,1.804219591217577,6.097959183673471
Al1Cu0.2Li0.5Mg1Zn0.5,0,"[('Al', 1.0), ('Cu', 0.2), ('Li', 0.5), ('Mg', 1.0), ('Zn', 0.5)]",3.2,58.75,11.428125,844.1684375,4.28125,12.30761807093722,0.25978036847258107,7.503675996279183,-5.933593749999999
Co1Cr1Fe1Nb0.155Ni1,0,"[('Co', 1.0), ('Cr', 1.0), ('Fe', 1.0), ('Nb', 0.155), ('Ni', 1.0)]",4.154999999999999,171.72202166064983,7.0527075812274385,1904.6626353790616,8.128760529482552,12.419949114923368,0.10363100093899563,2.0575953516554875,-9.544819357015532
Cr1Cu1Fe0.5Mn0.5Ni1,0,"[('Cr', 1.0), ('Cu', 1.0), ('Fe', 0.5), ('Mn', 0.5), ('Ni', 1.0)]",4.0,155.625,7.043749999999999,1732.8049999999998,8.625,12.966352777616104,0.13509256086106294,1.8181818181818132,4.737500000000001
Cr2Cu2Fe2Mn1Ni2,0,"[('Cr', 2.0), ('Cu', 2.0), ('Fe', 2.0), ('Mn', 1.0), ('Ni', 2.0)]",9.0,157.11111111111111,7.050000000000001,1741.5100000000002,8.555555555555555,13.145208483399971,0.12798533866650602,1.8032806270159578,5.106172839506172
Co0.5Cr1Fe1Mn1.5Ni1,0,"[('Co', 0.5), ('Cr', 1.0), ('Fe', 1.0), ('Mn', 1.5), ('Ni', 1.0)]",5.0,154.89999999999998,7.073,1776.4500000000003,7.800000000000001,12.945833341722775,0.1463591473055237,1.6543594566627562,-6.32
Co1Cu0.25Fe1Ni1Ti0.25,0,"[('Co', 1.0), ('Cu', 0.25), ('Fe', 1.0), ('Ni', 1.0), ('Ti', 0.25)]",3.5,168.35714285714286,7.0928571428571425,1752.1942857142856,8.785714285714286,12.06198798144985,0.09187391537607725,1.7514892774149773,-8.616326530612245
Al0.25Cr1Cu1Fe1Ni2,0,"[('Al', 0.25), ('Cr', 1.0), ('Cu', 1.0), ('Fe', 1.0), ('Ni', 2.0)]",5.25,161.14285714285714,7.072380952380952,1721.6642857142858,8.714285714285715,12.139981656446675,0.10573573356001233,2.5649107254274144,-3.200000000000001
Cr2Cu2Fe1Mn2Ni2,0,"[('Cr', 2.0), ('Cu', 2.0), ('Fe', 1.0), ('Mn', 2.0), ('Ni', 2.0)]",9.0,151.44444444444446,7.082222222222223,1709.0655555555556,8.444444444444443,13.14520848339997,0.14802402207449675,1.8032806270159578,3.3580246913580254
Co1Cu1Fe1Ni1Sn0.1,0,"[('Co', 1.0), ('Cu', 1.0), ('Fe', 1.0), ('Ni', 1.0), ('Sn', 0.1)]",4.1,164.09756097560975,7.1048780487804875,1635.3148780487807,9.609756097560977,12.197860072269918,0.03284995542894264,1.8531225516825445,5.989292088042833
Cr1Cu1Fe1Mn1Ni1,0,"[('Cr', 1.0), ('Cu', 1.0), ('Fe', 1.0), ('Mn', 1.0), ('Ni', 1.0)]",5.0,153.2,7.084,1719.2740000000003,8.4,13.380861848448422,0.14184498581197713,1.7749925672341897,3.824
Al0.25Co1Cr1Cu0.75Fe1Ni1,0,"[('Al', 0.25), ('Co', 1.0), ('Cr', 1.0), ('Cu', 0.75), ('Fe', 1.0), ('Ni', 1.0)]",5.0,162.2,7.091000000000001,1747.859,8.4,14.315911735815824,0.1031637048578617,2.6159078492830914,-4.009999999999999
Co1Cr1Fe1Nb0.206Ni1,0,"[('Co', 1.0), ('Cr', 1.0), ('Fe', 1.0), ('Nb', 0.206), ('Ni', 1.0)]",4.2059999999999995,171.71326676176892,7.098145506419402,1914.9146219686168,8.090822634331909,12.586483529152657,0.10557686703197541,2.1226367332490303,-10.653575751326878
Co1Cr1Cu1Fe1Mn1,0,"[('Co', 1.0), ('Cr', 1.0), ('Cu', 1.0), ('Fe', 1.0), ('Mn', 1.0)]",5.0,153.2,7.104,1727.274,8.200000000000001,13.380861848448422,0.13632314550361577,1.7749925672341897,5.760000000000001
Co1Cu1Fe1Mn1Ni1Sn0.08,0,"[('Co', 1.0), ('Cu', 1.0), ('Fe', 1.0), ('Mn', 1.0), ('Ni', 1.0), ('Sn', 0.08)]",5.08,155.44094488188975,7.124803149606299,1617.3281102362205,9.078740157480315,13.843523345991855,0.1350112456652145,1.9152546747238517,1.4005828011656023
Be1Mo1,0,"[('Be', 1.0), ('Mo', 1.0)]",2.0,179.5,7.2,2227.65,4.0,5.762823676963555,0.29500000000000004,15.999999999999998,-13.0
Al17Co83Cr83Fe83Mn83Ni83,0,"[('Al', 17.0), ('Co', 83.0), ('Cr', 83.0), ('Fe', 83.0), ('Mn', 83.0), ('Ni', 83.0)]",432.0,157.65509259259258,7.121898148148149,1767.197314814815,7.8032407407407405,14.233415308128146,0.1389626887262357,2.535532868995348,-11.966651663237313
Cu1Fe1,0,"[('Cu', 1.0), ('Fe', 1.0)]",2.0,154.5,7.1,1584.46,9.5,5.762823676963555,0.03499999999999992,1.8181818181818132,19.3
Co1Cr1Fe1Mn1Ni1V0.5,0,"[('Co', 1.0), ('Cr', 1.0), ('Fe', 1.0), ('Mn', 1.0), ('Ni', 1.0), ('V', 0.5)]",5.5,160.81818181818184,7.126363636363637,1836.059090909091,7.727272727272727,14.69716293397956,0.1375944454000912,1.8076652062876768,-9.586776859504132
Al8Co17Cr17Cu8Fe17Ni33,0,"[('Al', 8.0), ('Co', 17.0), ('Cr', 17.0), ('Cu', 8.0), ('Fe', 17.0), ('Ni', 33.0)]",100.0,162.71,7.121099999999999,1732.6952,8.33,13.914913358810116,0.10806479537758813,2.914687611528825,-12.0256
Fe1Co1Ni1Cr1Cu1Al0.3,0,"[('Fe', 1.0), ('Co', 1.0), ('Ni', 1.0), ('Cr', 1.0), ('Cu', 1.0), ('Al', 0.3)]",5.3,160.33962264150944,7.118867924528302,1721.7756603773587,8.471698113207546,14.431902704495641,0.10368263596014521,2.6802652914930185,-3.043075827696688
