Alloys,Class,alloy_sep,normalizer,k,vm,tm,vac,delta_s_mix,delta_chi,delta,delta_h_mix
Al1.17Co1Cr1Fe1Ni1,0,"[('Al', 1.17), ('Co', 1.0), ('Cr', 1.0), ('Fe', 1.0), ('Ni', 1.0)]",5.17,150.08123791102514,7.607350096711799,1659.5280270793037,7.061895551257253,13.36343526423827,0.1222929778557823,4.213182088006497,-30.173332984148246
Cr1Fe1Ni1V0.5W0.75,0,"[('Cr', 1.0), ('Fe', 1.0), ('Ni', 1.0), ('V', 0.5), ('W', 0.75)]",4.25,192.58823529411765,7.588823529411764,2253.267647058824,9.76470588235294,13.129739325630096,0.10685500961389119,1.8169767396656495,-8.387543252595156
Al1Co1.457Cr1Fe1Mo0.5Ni1,0,"[('Al', 1.0), ('Co', 1.457), ('Cr', 1.0), ('Fe', 1.0), ('Mo', 0.5), ('Ni', 1.0)]",5.957,161.12187342622124,7.619926137317442,1792.2930250125903,7.237367802585193,14.555222199880447,0.15380498496285697,4.220564725414577,-25.156179862006404
Co1Cu1Fe1Ni1Ti1,0,"[('Co', 1.0), ('Cu', 1.0), ('Fe', 1.0), ('Ni', 1.0), ('Ti', 1.0)]",5.0,155.2,7.62,1721.674,8.4,13.380861848448422,0.1387659900696132,1.7879487173599873,-16.432000000000002
Al1Co1Cr1Fe1.89Mo0.5Ni1,0,"[('Al', 1.0), ('Co', 1.0), ('Cr', 1.0), ('Fe', 1.89), ('Mo', 0.5), ('Ni', 1.0)]",6.39,160.94053208137717,7.613302034428796,1796.6460876369329,7.217527386541471,14.305792834159078,0.1476141169824386,4.183139493297319,-22.917753434185364
Al12Cr17Fe35Mn20Ni12Ti4,0,"[('Al', 12.0), ('Cr', 17.0), ('Fe', 35.0), ('Mn', 20.0), ('Ni', 12.0), ('Ti', 4.0)]",100.0,144.91,7.608099999999999,1705.4784,6.94,13.536651569401252,0.1330267266379204,3.5780621003171995,-21.67552000000001
Al0.5Co1Cr1Fe1Mn1Ni1Zr0.3,0,"[('Al', 0.5), ('Co', 1.0), ('Cr', 1.0), ('Fe', 1.0), ('Mn', 1.0), ('Ni', 1.0), ('Zr', 0.3)]",5.8,150.05172413793102,7.629310344827586,1743.384482758621,7.362068965517242,15.629368926401645,0.1647359433593129,4.271851856289361,-25.473246135552916
Al1.2Co1Cr1Fe1Ni1,0,"[('Al', 1.2), ('Co', 1.0), ('Cr', 1.0), ('Fe', 1.0), ('Ni', 1.0)]",5.2,149.65384615384613,7.621153846153845,1655.3392307692307,7.038461538461538,13.357137913792899,0.12255900643841555,4.2378277069118075,-30.502958579881653
Al1Cr1Cu1Fe1Ni1,0,"[('Al', 1.0), ('Cr', 1.0), ('Cu', 1.0), ('Fe', 1.0), ('Ni', 1.0)]",5.0,144.8,7.606,1602.138,7.6,13.380861848448422,0.12416118556135002,4.057204129667896,-15.472
Al0.5Cr1Fe1Ni1V1,0,"[('Al', 0.5), ('Cr', 1.0), ('Fe', 1.0), ('Ni', 1.0), ('V', 1.0)]",4.5,156.66666666666669,7.6177777777777775,1859.8522222222223,6.777777777777777,13.14520848339997,0.11920518672947868,3.3658005107082896,-25.550617283950622
Al1Co2Cr1Fe1Ni1Ti0.5,0,"[('Al', 1.0), ('Co', 2.0), ('Cr', 1.0), ('Fe', 1.0), ('Ni', 1.0), ('Ti', 0.5)]",6.5,153.30769230769232,7.635384615384615,1717.0453846153846,7.230769230769231,14.232274507701039,0.13089134569824779,3.6822390331862853,-32.629585798816564
Al1Co1Cr1Ni1,0,"[('Al', 1.0), ('Co', 1.0), ('Cr', 1.0), ('Ni', 1.0)]",4.0,148.5,7.6325,1652.48,7.0,11.525647353927582,0.13162446581088177,4.0737373304118405,-34.175
Co1Cr1Cu1Fe1Mn1Ni1Ti1V1,0,"[('Co', 1.0), ('Cr', 1.0), ('Cu', 1.0), ('Fe', 1.0), ('Mn', 1.0), ('Ni', 1.0), ('Ti', 1.0), ('V', 1.0)]",8.0,151.625,7.633750000000001,1811.3524999999997,7.5,17.28846904868167,0.14863966496194747,1.8181818181818132,-12.418750000000001
Al1Co1Cr1Fe1Mo0.3Ni1,0,"[('Al', 1.0), ('Co', 1.0), ('Cr', 1.0), ('Fe', 1.0), ('Mo', 0.3), ('Ni', 1.0)]",5.3,156.98113207547172,7.632075471698113,1752.7575471698112,7.132075471698114,14.431902704495641,0.1466475979275763,4.278476311465389,-26.91634033463866
Al1Co1Cr1Cu1Fe1Mo0.6Ni1,0,"[('Al', 1.0), ('Co', 1.0), ('Cr', 1.0), ('Cu', 1.0), ('Fe', 1.0), ('Mo', 0.6), ('Ni', 1.0)]",6.6,157.72727272727275,7.631818181818182,1744.8378787878792,7.666666666666668,16.075181418496914,0.15395311320397984,4.0961366936173516,-13.713498622589533
Al1Co1Cr2Fe1Mo0.5Ni1,0,"[('Al', 1.0), ('Co', 1.0), ('Cr', 2.0), ('Fe', 1.0), ('Mo', 0.5), ('Ni', 1.0)]",6.5,159.6923076923077,7.624615384615384,1853.6607692307693,6.923076923076923,14.232274507701039,0.1562769503384955,4.159105087389692,-23.31834319526627
Al1Co1Cr1Cu1Fe1,0,"[('Al', 1.0), ('Co', 1.0), ('Cr', 1.0), ('Cu', 1.0), ('Fe', 1.0)]",5.0,144.8,7.6259999999999994,1610.138,7.4,13.380861848448422,0.11842297074469967,4.057204129667896,-13.503999999999998
Al1Co1Cr1Fe1.59Mo0.5Ni1,0,"[('Al', 1.0), ('Co', 1.0), ('Cr', 1.0), ('Fe', 1.59), ('Mo', 0.5), ('Ni', 1.0)]",6.09,160.54351395730708,7.638587848932676,1795.9316091954024,7.178981937602627,14.487000243909783,0.15116844441687402,4.249999179515903,-23.920880282354723
Al1Co1.3Cr1Fe1Mo0.5Ni1,0,"[('Al', 1.0), ('Co', 1.3), ('Cr', 1.0), ('Fe', 1.0), ('Mo', 0.5), ('Ni', 1.0)]",5.8,160.63793103448276,7.6448275862068975,1792.946551724138,7.1896551724137945,14.62270881202934,0.1555283274586747,4.275350387797723,-25.504161712247328
Al1Co1Cr1.87Fe1Mo0.5Ni1,0,"[('Al', 1.0), ('Co', 1.0), ('Cr', 1.87), ('Fe', 1.0), ('Mo', 0.5), ('Ni', 1.0)]",6.37,159.68602825745683,7.632668759811618,1846.9977237048668,6.941915227629513,14.318812981634034,0.1567581550940933,4.18753783653036,-23.659569853783804
Al1Co1.287Cr1Fe1Mo0.5Ni1,0,"[('Al', 1.0), ('Co', 1.287), ('Cr', 1.0), ('Fe', 1.0), ('Mo', 0.5), ('Ni', 1.0)]",5.787,160.5966822187662,7.646950060480387,1793.0022550544325,7.18558838776568,14.62755386877715,0.15567349434297068,4.279982898520792,-25.53301019198063
Al1Co1Cr1.79Fe1Mo0.5Ni1,0,"[('Al', 1.0), ('Co', 1.0), ('Cr', 1.79), ('Fe', 1.0), ('Mo', 0.5), ('Ni', 1.0)]",6.29,159.6820349761526,7.637790143084261,1842.7604928457872,6.95389507154213,14.369695893202438,0.15704036299614038,4.205217243911209,-23.873764346971114
Al1Co1Cr1Fe1.5Mo0.5Ni1,0,"[('Al', 1.0), ('Co', 1.0), ('Cr', 1.0), ('Fe', 1.5), ('Mo', 0.5), ('Ni', 1.0)]",6.0,160.41666666666669,7.646666666666666,1795.7033333333336,7.166666666666667,14.53415852492334,0.1522858241013333,4.270409799317719,-24.23888888888889
Al0.6Co1Fe1Ni1Ti0.4,0,"[('Al', 0.6), ('Co', 1.0), ('Fe', 1.0), ('Ni', 1.0), ('Ti', 0.4)]",4.0,154.05,7.66,1661.1979999999999,7.6000000000000005,12.924501112701035,0.13047892550140036,3.5985069009116044,-35.151
Al1.25Co1Cr1Fe1Ni1,0,"[('Al', 1.25), ('Co', 1.0), ('Cr', 1.0), ('Fe', 1.0), ('Ni', 1.0)]",5.25,148.95238095238093,7.643809523809524,1648.4642857142858,7.0,13.344785300584915,0.12297889869326978,4.277184415431712,-31.031292517006804
Al1.5Cr1Cu1Fe1Ni2,0,"[('Al', 1.5), ('Cr', 1.0), ('Cu', 1.0), ('Fe', 1.0), ('Ni', 2.0)]",6.5,144.76923076923077,7.6353846153846145,1570.0884615384616,7.615384615384615,13.011049622990082,0.12889149604019373,4.092509128104789,-22.466272189349112
Al1Co1Cr1.67Fe1Mo0.5Ni1,0,"[('Al', 1.0), ('Co', 1.0), ('Cr', 1.67), ('Fe', 1.0), ('Mo', 0.5), ('Ni', 1.0)]",6.17,159.67585089141005,7.645721231766613,1836.1986223662886,6.9724473257698545,14.441964474999276,0.15744114410047638,4.231988793007668,-24.20117208535051
Co1.5Cr1Fe1Ni1.5Ti0.5Mo1.5,0,"[('Co', 1.5), ('Cr', 1.0), ('Fe', 1.0), ('Ni', 1.5), ('Ti', 0.5), ('Mo', 1.5)]",7.0,180.78571428571425,7.668571428571429,2078.5785714285716,7.642857142857142,14.422826281174576,0.1803016180442865,2.7806308036997374,-13.953061224489796
Al1Co0.2Cu1Fe1Ni1,0,"[('Al', 1.0), ('Co', 0.2), ('Cu', 1.0), ('Fe', 1.0), ('Ni', 1.0)]",4.2,142.8095238095238,7.652380952380952,1472.4214285714288,8.047619047619047,12.568471921250213,0.11886652893342287,3.9787686432380633,-18.204081632653065
Al1.5Co1Cr1Cu1Fe1Ni1,0,"[('Al', 1.5), ('Co', 1.0), ('Cr', 1.0), ('Cu', 1.0), ('Fe', 1.0), ('Ni', 1.0)]",6.5,144.76923076923077,7.65076923076923,1576.2423076923078,7.461538461538462,14.784225757784743,0.12493311820197488,4.092509128104789,-21.098224852071002
Al0.5Co1Cr1Cu1Fe1Ni1Ti0.8,0,"[('Al', 0.5), ('Co', 1.0), ('Cr', 1.0), ('Cu', 1.0), ('Fe', 1.0), ('Ni', 1.0), ('Ti', 0.8)]",6.3,151.14285714285714,7.652380952380952,1724.8611111111113,7.730158730158731,15.995272748944807,0.1372800239971647,3.022776278479719,-19.56664147140338
Al1Co1Cr1Fe1.35Mo0.5Ni1,0,"[('Al', 1.0), ('Co', 1.0), ('Cr', 1.0), ('Fe', 1.35), ('Mo', 0.5), ('Ni', 1.0)]",5.85,160.19658119658118,7.660683760683762,1795.3072649572655,7.145299145299147,14.602953938516766,0.15420447351103186,4.304756855240096,-24.78778581342684
Al1Co1Cr1Fe1Mo1Ni1.95,0,"[('Al', 1.0), ('Co', 1.0), ('Cr', 1.0), ('Fe', 1.0), ('Mo', 1.0), ('Ni', 1.95)]",6.95,167.34532374100718,7.669064748201438,1864.455035971223,7.410071942446043,14.56084327051002,0.16883560163631817,4.267443726928196,-23.749495367734593
Al1Co1Cr1.5Fe1Mo0.5Ni1,0,"[('Al', 1.0), ('Co', 1.0), ('Cr', 1.5), ('Fe', 1.0), ('Mo', 0.5), ('Ni', 1.0)]",6.0,159.66666666666669,7.6575,1826.4533333333336,7.0,14.53415852492334,0.15795568998931314,4.270409799317719,-24.677777777777777
Al1Co1Cr1Fe1Mo0.4Ni1,0,"[('Al', 1.0), ('Co', 1.0), ('Cr', 1.0), ('Fe', 1.0), ('Mo', 0.4), ('Ni', 1.0)]",5.4,158.33333333333331,7.6648148148148145,1773.912962962963,7.111111111111111,14.585014297408462,0.15319191904391252,4.335674920073858,-26.537722908093272
Al1.4Co0.9Cr1.4Cu0.5Fe0.9Ni1,0,"[('Al', 1.4), ('Co', 0.9), ('Cr', 1.4), ('Cu', 0.5), ('Fe', 0.9), ('Ni', 1.0)]",6.1,146.32786885245903,7.654426229508197,1637.290655737705,7.114754098360656,14.480885508058426,0.12472555197838497,4.216730663365106,-24.80978231658157
Al23Co15Cr23Cu8Fe15Ni16,0,"[('Al', 23.0), ('Co', 15.0), ('Cr', 23.0), ('Cu', 8.0), ('Fe', 15.0), ('Ni', 16.0)]",100.0,146.32,7.656899999999999,1638.1532000000002,7.1,14.470164088839653,0.12449722888482294,4.224982825590769,-24.895920000000004
Al0.125Co1Cr1Cu1Fe1Mn1Ni1Ti1V1,0,"[('Al', 0.125), ('Co', 1.0), ('Cr', 1.0), ('Cu', 1.0), ('Fe', 1.0), ('Mn', 1.0), ('Ni', 1.0), ('Ti', 1.0), ('V', 1.0)]",8.125,150.46153846153845,7.6701538461538465,1797.8466153846155,7.430769230769231,17.68334643332457,0.14832428888943378,2.1259009480123594,-14.396591715976331
Al1Cr1Cu1Fe1Ni0.8,0,"[('Al', 1.0), ('Cr', 1.0), ('Cu', 1.0), ('Fe', 1.0), ('Ni', 0.8)]",4.8,143.37500000000003,7.647916666666667,1596.8875000000003,7.500000000000001,13.350670366944755,0.12388390622765419,4.1408666249996084,-14.895833333333334
Al1Co1Cr1.35Fe1Mo0.5Ni1,0,"[('Al', 1.0), ('Co', 1.0), ('Cr', 1.35), ('Fe', 1.0), ('Mo', 0.5), ('Ni', 1.0)]",5.85,159.65811965811966,7.668461538461539,1817.3841880341884,7.025641025641026,14.602953938516766,0.15834864454152864,4.304756855240096,-25.110965008400907
Al1Co1Cu8.33Ni1Ti1Zn1,0,"[('Al', 1.0), ('Co', 1.0), ('Cu', 8.33), ('Ni', 1.0), ('Ti', 1.0), ('Zn', 1.0)]",13.33,133.39834958739686,7.670142535633908,1378.5314403600903,9.724681170292572,10.519708737110976,0.12687512371394025,2.257521038584006,-11.360507043490053
Al0.75Co1Cr1Cu0.25Fe1Ni1Ti0.5,0,"[('Al', 0.75), ('Co', 1.0), ('Cr', 1.0), ('Cu', 0.25), ('Fe', 1.0), ('Ni', 1.0), ('Ti', 0.5)]",5.5,151.54545454545453,7.673636363636364,1727.0400000000002,7.2727272727272725,15.54720819603144,0.1329893116938101,3.6176099753819266,-28.728925619834712
Al1.32Co1Cr1Fe1Ni1,0,"[('Al', 1.32), ('Co', 1.0), ('Cr', 1.0), ('Fe', 1.0), ('Ni', 1.0)]",5.32,147.99248120300751,7.674812030075188,1639.0564661654134,6.947368421052631,13.323905302713843,0.1235201279240527,4.328891619732075,-31.728757985188537
Al1Cr1Cu0.5Fe1Ni1,0,"[('Al', 1.0), ('Cr', 1.0), ('Cu', 0.5), ('Fe', 1.0), ('Ni', 1.0)]",4.5,145.33333333333334,7.662222222222222,1629.29,7.222222222222222,13.14520848339997,0.12413652380830498,4.276668660663892,-21.807407407407407
Al1Co1Cr1Fe1.125Mo0.5Ni1,0,"[('Al', 1.0), ('Co', 1.0), ('Cr', 1.0), ('Fe', 1.125), ('Mo', 0.5), ('Ni', 1.0)]",5.625,159.84444444444443,7.683111111111112,1794.6735555555558,7.111111111111112,14.676510553805416,0.1572234393356894,4.356958047703719,-25.65846913580247
Al1Co1Cr1Cu1Fe1Mo0.8Ni1,0,"[('Al', 1.0), ('Co', 1.0), ('Cr', 1.0), ('Cu', 1.0), ('Fe', 1.0), ('Mo', 0.8), ('Ni', 1.0)]",6.8,159.85294117647058,7.6838235294117645,1778.6705882352944,7.61764705882353,16.155548305310138,0.16152522380072853,4.182487414910815,-13.219723183391007
Al1Co1Cr1Fe1Nb0.25Ni1,0,"[('Al', 1.0), ('Co', 1.0), ('Cr', 1.0), ('Fe', 1.0), ('Nb', 0.25), ('Ni', 1.0)]",5.25,153.47619047619045,7.681904761904762,1734.9728571428573,7.095238095238095,14.335342821217443,0.12361523216652046,4.247116335182626,-31.332426303854874
Al1Co1Cr1.1Fe1Mo0.5Ni1,0,"[('Al', 1.0), ('Co', 1.0), ('Cr', 1.1), ('Fe', 1.0), ('Mo', 0.5), ('Ni', 1.0)]",5.6,159.64285714285717,7.688035714285715,1801.1892857142861,7.071428571428571,14.681961816843694,0.1588462868849721,4.362801468254817,-25.85969387755102
Al60Co40Cr40Fe40Mn40Ni40,0,"[('Al', 60.0), ('Co', 40.0), ('Cr', 40.0), ('Fe', 40.0), ('Mn', 40.0), ('Ni', 40.0)]",260.0,141.3846153846154,7.695384615384615,1601.0700000000002,6.846153846153846,14.784225757784743,0.13800780356977585,4.358136336404087,-31.706508875739644
Al0.9Cr1Fe1Ni1,0,"[('Al', 0.9), ('Cr', 1.0), ('Fe', 1.0), ('Ni', 1.0)]",3.9,147.79487179487182,7.674358974358975,1681.941794871795,6.846153846153847,11.517301404618317,0.12152060888031706,4.425636978172036,-29.767258382643
Al1Co1Cr1Cu0.5Fe1,0,"[('Al', 1.0), ('Co', 1.0), ('Cr', 1.0), ('Cu', 0.5), ('Fe', 1.0)]",4.5,145.33333333333334,7.684444444444444,1638.1788888888889,7.0,13.145208483399971,0.11697841945112757,4.276668660663892,-19.772839506172836
Al1Co0.987Cr1Fe1Mo0.5Ni1,0,"[('Al', 1.0), ('Co', 0.987), ('Cr', 1.0), ('Fe', 1.0), ('Mo', 0.5), ('Ni', 1.0)]",5.487,159.59048660470202,7.698724257335519,1794.3610442864954,7.086386003280481,14.69829886416353,0.15913363402959155,4.3912488840010635,-26.19722897227567
Co1Cr1Fe1Nb1Ni1,0,"[('Co', 1.0), ('Cr', 1.0), ('Fe', 1.0), ('Nb', 1.0), ('Ni', 1.0)]",5.0,171.60000000000002,7.686,2047.5500000000002,7.6,13.380861848448422,0.12338557452149741,2.6918398465999576,-22.288
Al1Co1Cr1Fe1Mo1Ni1.72,0,"[('Al', 1.0), ('Co', 1.0), ('Cr', 1.0), ('Fe', 1.0), ('Mo', 1.0), ('Ni', 1.72)]",6.72,166.94642857142856,7.7056547619047615,1869.1202380952384,7.321428571428572,14.684837335535677,0.17134148540321872,4.3337564139450055,-23.97285997732427
Al1Co1Cr1Fe1Mo0.52Ni1,0,"[('Al', 1.0), ('Co', 1.0), ('Cr', 1.0), ('Fe', 1.0), ('Mo', 0.52), ('Ni', 1.0)]",5.52,159.89130434782612,7.702536231884059,1798.2876811594206,7.086956521739131,14.715604688520774,0.1600567827460104,4.395634995328,-26.095883217811384
Al1.5Co1Cr1Cu0.5Fe1Ni1,0,"[('Al', 1.5), ('Co', 1.0), ('Cr', 1.0), ('Cu', 0.5), ('Fe', 1.0), ('Ni', 1.0)]",6.0,145.16666666666669,7.696666666666667,1594.4483333333335,7.166666666666667,14.53415852492334,0.1252636109260076,4.258170559255303,-26.37777777777778
Al1Co1Cr0.89Fe1Mo0.5Ni1,0,"[('Al', 1.0), ('Co', 1.0), ('Cr', 0.89), ('Fe', 1.0), ('Mo', 0.5), ('Ni', 1.0)]",5.390000000000001,159.62894248608535,7.705881261595546,1786.4245825602968,7.113172541743969,14.699868417294388,0.15907368048774234,4.412145302919606,-26.514572096337265
Al1Co0.95Cr1Fe1Mo0.5Ni1,0,"[('Al', 1.0), ('Co', 0.95), ('Cr', 1.0), ('Fe', 1.0), ('Mo', 0.5), ('Ni', 1.0)]",5.45,159.45871559633025,7.705504587155962,1794.5389908256882,7.073394495412844,14.700377573735123,0.15957554590940667,4.405580525705223,-26.27859607777123
Al1Co2Cr1Fe1Mo0.5,0,"[('Al', 1.0), ('Co', 2.0), ('Cr', 1.0), ('Fe', 1.0), ('Mo', 0.5)]",5.5,159.63636363636363,7.714545454545455,1801.5718181818183,6.909090909090908,12.601590958112238,0.1560355967015749,4.38624650454983,-24.879338842975205
Al0.5Co1Cr1Ni1Ti0.5,0,"[('Al', 0.5), ('Co', 1.0), ('Cr', 1.0), ('Ni', 1.0), ('Ti', 0.5)]",4.0,152.625,7.7075000000000005,1778.6899999999998,7.125,12.966352777616104,0.14343443624178953,3.417602989445005,-36.1625
Al1Co1Cr1Fe0.867Mo0.5Ni1,0,"[('Al', 1.0), ('Co', 1.0), ('Cr', 1.0), ('Fe', 0.867), ('Mo', 0.5), ('Ni', 1.0)]",5.367,159.40432271287497,7.711142165082914,1793.8815073597912,7.068380845910193,14.698304657767267,0.16091342318440036,4.4175716937441445,-26.733633541400152
Co1Cr1Fe1Ni1Ta1,0,"[('Co', 1.0), ('Cr', 1.0), ('Fe', 1.0), ('Ni', 1.0), ('Ta', 1.0)]",5.0,177.59999999999997,7.7059999999999995,2155.55,10.399999999999999,13.380861848448422,0.15447977213862013,2.6918398465999576,-21.279999999999998
Al1Co1.5Cr1Fe1Ni1Ti0.5,0,"[('Al', 1.0), ('Co', 1.5), ('Cr', 1.0), ('Fe', 1.0), ('Ni', 1.0), ('Ti', 0.5)]",6.0,151.16666666666669,7.713333333333333,1712.7866666666669,7.083333333333333,14.53415852492334,0.13256025883432113,3.830738337842685,-34.233333333333334
Al1Co1Cr1Fe1Mo1Ni1.62,0,"[('Al', 1.0), ('Co', 1.0), ('Cr', 1.0), ('Fe', 1.0), ('Mo', 1.0), ('Ni', 1.62)]",6.62,166.7643504531722,7.7223564954682775,1871.2496978851966,7.280966767371601,14.732729825011985,0.17246535216435002,4.3635596222486095,-24.06184682505636
Al1Cr1Cu1Fe1Ni0.6,0,"[('Al', 1.0), ('Cr', 1.0), ('Cu', 1.0), ('Fe', 1.0), ('Ni', 0.6)]",4.6,141.82608695652175,7.693478260869566,1591.1804347826087,7.391304347826088,13.241584225988836,0.1233204748146333,4.2299277090382255,-14.158790170132333
Cr1Fe1Ni1V0.5W1,0,"[('Cr', 1.0), ('Fe', 1.0), ('Ni', 1.0), ('V', 0.5), ('W', 1.0)]",4.5,199.0,7.696666666666666,2332.927777777778,10.333333333333332,13.145208483399971,0.10482201257840673,1.8105813582994197,-7.664197530864197
Co1.5Cr1Fe1Ni1.5Ti0.5Mo1.8,0,"[('Co', 1.5), ('Cr', 1.0), ('Fe', 1.0), ('Ni', 1.5), ('Ti', 0.5), ('Mo', 1.8)]",7.3,182.80821917808217,7.739726027397261,2112.1363013698633,7.575342465753424,14.33155906961481,0.18488888397704545,2.852633217753825,-13.55376243197598
Al0.8Co1Cr1Fe1Ni1Ti0.5,0,"[('Al', 0.8), ('Co', 1.0), ('Cr', 1.0), ('Fe', 1.0), ('Ni', 1.0), ('Ti', 0.5)]",5.3,151.37735849056605,7.722641509433963,1736.9718867924528,7.056603773584906,14.689003883653609,0.13316264142335008,3.7654004754794315,-33.462442150231404
Al1Co1Cr0.58Fe1Mo0.5Ni1,0,"[('Al', 1.0), ('Co', 1.0), ('Cr', 0.58), ('Fe', 1.0), ('Mo', 0.5), ('Ni', 1.0)]",5.08,159.60629921259843,7.734921259842521,1762.398031496063,7.181102362204724,14.597113897352342,0.1589844506614125,4.485398167894149,-27.52371504743009
Al1.7Co1Cr1Cu1Fe1Ni1,0,"[('Al', 1.7), ('Co', 1.0), ('Cr', 1.0), ('Cu', 1.0), ('Fe', 1.0), ('Ni', 1.0)]",6.7,142.71641791044777,7.7208955223880595,1557.055074626866,7.3283582089552235,14.694743852477396,0.12656065176148826,4.206035897086769,-22.849632434840725
Al1Co1Cr1Fe1Mo1Ni1.53,0,"[('Al', 1.0), ('Co', 1.0), ('Cr', 1.0), ('Fe', 1.0), ('Mo', 1.0), ('Ni', 1.53)]",6.53,166.5957120980092,7.7378254211332305,1873.221975497703,7.243491577335375,14.772021133802124,0.17349540205983366,4.390910017624002,-24.137013993607077
Al1Co1Cr1Cu1Fe1Mo1Ni1,0,"[('Al', 1.0), ('Co', 1.0), ('Cr', 1.0), ('Cu', 1.0), ('Fe', 1.0), ('Mo', 1.0), ('Ni', 1.0)]",7.0,161.85714285714286,7.732857142857144,1810.57,7.571428571428572,16.178290041506536,0.1678434644882802,4.253423248500503,-12.759183673469382
Al0.8Co1Cr1Ni1Si0.2,0,"[('Al', 0.8), ('Co', 1.0), ('Cr', 1.0), ('Ni', 1.0), ('Si', 0.2)]",4.0,149.64999999999998,7.737500000000001,1690.1640000000002,7.05,12.565732800146913,0.12971025402796799,5.4995258790706,-35.541999999999994
Al1Co1Cr0.5Fe1Mo0.5Ni1,0,"[('Al', 1.0), ('Co', 1.0), ('Cr', 0.5), ('Fe', 1.0), ('Mo', 0.5), ('Ni', 1.0)]",5.0,159.6,7.743,1755.714,7.199999999999999,14.533425989178351,0.15885842753848473,4.504264064846382,-27.792
Al1.45Co1Cr1Fe1Ni1,0,"[('Al', 1.45), ('Co', 1.0), ('Cr', 1.0), ('Fe', 1.0), ('Ni', 1.0)]",5.45,146.27522935779814,7.730275229357797,1622.2259633027525,6.853211009174311,13.275451445847843,0.12439365606094924,4.415421344536872,-32.90295429677636
Co1Fe1Ni1Ti1,0,"[('Co', 1.0), ('Fe', 1.0), ('Ni', 1.0), ('Ti', 1.0)]",4.0,159.0,7.75,1812.65,7.75,11.525647353927582,0.14713938969562157,1.8181818181818132,-31.05
Al1Co1Cr1Fe0.6Mo0.5Ni1,0,"[('Al', 1.0), ('Co', 1.0), ('Cr', 1.0), ('Fe', 0.6), ('Mo', 0.5), ('Ni', 1.0)]",5.1,158.90196078431373,7.743137254901962,1792.9774509803924,7.019607843137255,14.610130365621298,0.1650195426079048,4.480674876306481,-27.943098808150715
Al1Co1Cr0.37Fe1Mo0.5Ni1,0,"[('Al', 1.0), ('Co', 1.0), ('Cr', 0.37), ('Fe', 1.0), ('Mo', 0.5), ('Ni', 1.0)]",4.87,159.58932238193017,7.756694045174537,1744.3840862422999,7.232032854209445,14.381531458649764,0.15854376859259378,4.534770573287662,-28.23438139048527
Al1Co0.73Cr1Fe1Mo0.5Ni1,0,"[('Al', 1.0), ('Co', 0.73), ('Cr', 1.0), ('Fe', 1.0), ('Mo', 0.5), ('Ni', 1.0)]",5.23,158.63671128107075,7.747801147227532,1795.6490439770553,6.992351816443594,14.670918860288001,0.16227593275489988,4.4937895531032845,-26.75679726829696
Al0.5Co1Cr1Cu1Fe1Ni1Ti1,0,"[('Al', 0.5), ('Co', 1.0), ('Cr', 1.0), ('Cu', 1.0), ('Fe', 1.0), ('Ni', 1.0), ('Ti', 1.0)]",6.5,149.84615384615387,7.743076923076924,1731.5776923076924,7.615384615384615,16.0054506424957,0.14138787976477576,3.007627676628541,-21.675739644970417
Al1Cr1Fe1Ni1,0,"[('Al', 1.0), ('Cr', 1.0), ('Fe', 1.0), ('Ni', 1.0)]",4.0,146.0,7.7325,1663.23,6.75,11.525647353927582,0.12214233500306106,4.5360921162651415,-31.025000000000002
Al1Co1Cr1Cu0.5Fe1Ni1Ti0.5,0,"[('Al', 1.0), ('Co', 1.0), ('Cr', 1.0), ('Cu', 0.5), ('Fe', 1.0), ('Ni', 1.0), ('Ti', 0.5)]",6.0,147.91666666666669,7.746666666666666,1678.5883333333336,7.25,15.857152232618903,0.13409159390340447,3.830738337842685,-28.47777777777778
Al1.8Cr1Cu1Fe1Ni2,0,"[('Al', 1.8), ('Cr', 1.0), ('Cu', 1.0), ('Fe', 1.0), ('Ni', 2.0)]",6.8,141.73529411764707,7.739705882352941,1542.0023529411765,7.411764705882353,12.948760772161359,0.13123712657248882,4.256025655172984,-24.996539792387548
Al1Co1Cr1Fe1Nb0.36Ni1,0,"[('Al', 1.0), ('Co', 1.0), ('Cr', 1.0), ('Fe', 1.0), ('Nb', 0.36), ('Ni', 1.0)]",5.36,153.83582089552235,7.745895522388059,1755.8067164179104,7.052238805970148,14.529393648530993,0.12467880319143415,4.3136378276562475,-32.52227667631989
Fe6Ni1Co1Si1Cr1Al1,0,"[('Fe', 6.0), ('Ni', 1.0), ('Co', 1.0), ('Si', 1.0), ('Cr', 1.0), ('Al', 1.0)]",11.0,155.1818181818182,7.748181818181817,1742.179090909091,7.2727272727272725,11.810629045688056,0.08935027182040445,6.70025210172808,-25.6297520661157
Al1.8Co1Cr1Cu1Fe1Ni1,0,"[('Al', 1.8), ('Co', 1.0), ('Cr', 1.0), ('Cu', 1.0), ('Fe', 1.0), ('Ni', 1.0)]",6.8,141.73529411764707,7.754411764705882,1547.884705882353,7.264705882352941,14.643708504342804,0.1272564503365119,4.256025655172984,-23.634948096885815
